id,ema_pullback,ema_trend_h1,adx_period,adx_threshold,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
255,21,150,14,25,14,14,40,65,35,50,2.5,10000,6357.5,-3642.5,-36.42,-60.29,-0.18,-0.06,-1.43,42.23,204,32.35,0.75,-17.86,503.18,-320.77,0.00075,0.0005,38.24,-74.66
256,21,150,14,25,14,14,40,65,35,55,1.5,10000,7581.52,-2418.48,-24.18,-43.14,-0.13,-0.06,-1.23,35.17,335,34.03,0.85,-7.22,589.18,-220.3,0.00075,0.0005,38.24,-62.42
257,21,150,14,25,14,14,40,65,35,55,2.0,10000,6642.48,-3357.52,-33.58,-56.58,-0.18,-0.07,-1.41,40.14,255,32.55,0.78,-13.17,520.92,-283.47,0.00075,0.0005,38.24,-71.82
258,21,150,14,25,14,14,40,65,35,55,2.5,10000,6406.76,-3593.24,-35.93,-59.66,-0.18,-0.05,-1.4,42.63,208,32.69,0.75,-17.28,507.08,-317.84,0.00075,0.0005,38.24,-74.17
259,21,150,14,25,14,14,40,65,40,50,1.5,10000,8142.13,-1857.87,-18.58,-34.24,-0.1,-0.05,-1.17,29.26,297,33.33,0.87,-6.26,632.74,-231.91,0.00075,0.0005,38.24,-56.82
260,21,150,14,25,14,14,40,65,40,50,2.0,10000,7037.92,-2962.08,-29.62,-51.14,-0.16,-0.06,-1.51,33.95,233,32.19,0.79,-12.71,551.94,-266.68,0.00075,0.0005,38.24,-67.86
261,21,150,14,25,14,14,40,65,40,50,2.5,10000,6821.12,-3178.88,-31.79,-54.16,-0.16,-0.05,-1.36,39.84,195,32.31,0.78,-16.3,539.87,-323.83,0.00075,0.0005,38.24,-70.03
262,21,150,14,25,14,14,40,65,40,55,1.5,10000,8203.14,-1796.86,-17.97,-33.23,-0.09,-0.04,-1.08,30.74,316,33.86,0.88,-5.69,637.48,-233.65,0.00075,0.0005,38.24,-56.21
263,21,150,14,25,14,14,40,65,40,55,2.0,10000,6680.66,-3319.34,-33.19,-56.07,-0.18,-0.07,-1.44,38.82,249,31.73,0.78,-13.33,523.92,-253.14,0.00075,0.0005,38.24,-71.43
264,21,150,14,25,14,14,40,65,40,55,2.5,10000,6398.8,-3601.2,-36.01,-59.76,-0.18,-0.06,-1.43,41.84,203,32.02,0.75,-17.74,506.45,-303.78,0.00075,0.0005,38.24,-74.25
265,21,150,14,25,14,14,45,60,35,50,1.5,10000,6618.6,-3381.4,-33.81,-56.9,-0.22,-0.09,-1.41,40.48,290,32.41,0.74,-11.66,514.35,-212.1,0.00075,0.0005,38.24,-72.05
266,21,150,14,25,14,14,45,60,35,50,2.0,10000,6920.92,-3079.08,-30.79,-52.79,-0.17,-0.06,-1.46,36.16,228,33.77,0.77,-13.5,542.76,-276.8,0.00075,0.0005,38.24,-69.03
267,21,150,14,25,14,14,45,60,35,50,2.5,10000,7014.87,-2985.13,-29.85,-51.47,-0.14,-0.04,-1.42,36.34,190,33.68,0.79,-15.71,555.21,-335.81,0.00075,0.0005,38.24,-68.09
268,21,150,14,25,14,14,45,60,35,55,1.5,10000,6848.89,-3151.11,-31.51,-53.78,-0.19,-0.08,-1.34,40.09,307,33.22,0.77,-10.26,532.24,-214.89,0.00075,0.0005,38.24,-69.75
269,21,150,14,25,14,14,45,60,35,55,2.0,10000,7116.04,-2883.96,-28.84,-50.03,-0.16,-0.05,-1.37,36.56,239,33.89,0.8,-12.07,558.06,-287.03,0.00075,0.0005,38.24,-67.08
270,21,150,14,25,14,14,45,60,35,55,2.5,10000,7364.3,-2635.7,-26.36,-46.41,-0.12,-0.04,-1.35,34.31,196,34.69,0.81,-13.45,582.86,-349.62,0.00075,0.0005,38.24,-64.6
271,21,150,14,25,14,14,45,60,40,50,1.5,10000,7228.85,-2771.15,-27.71,-48.4,-0.18,-0.07,-1.41,34.28,268,32.09,0.77,-10.34,561.77,-205.9,0.00075,0.0005,38.24,-65.95
272,21,150,14,25,14,14,45,60,40,50,2.0,10000,7451.85,-2548.15,-25.48,-45.1,-0.14,-0.05,-1.44,31.37,215,33.49,0.8,-11.85,584.4,-282.37,0.00075,0.0005,38.24,-63.72
273,21,150,14,25,14,14,45,60,40,50,2.5,10000,7527.17,-2472.83,-24.73,-43.97,-0.12,-0.04,-1.26,34.93,181,33.7,0.82,-13.66,595.75,-357.35,0.00075,0.0005,38.24,-62.97
274,21,150,14,25,14,14,45,60,40,55,1.5,10000,7410.43,-2589.57,-25.9,-45.73,-0.16,-0.07,-1.33,34.36,288,32.99,0.8,-8.99,575.88,-211.07,0.00075,0.0005,38.24,-64.14
