id,ema_pullback,ema_trend_h1,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,time_exit_hour,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
281,34,200,14,14,45,65,35,55,2.0,23,10000,7163.58,-2836.42,-28.36,-49.35,-0.13,-0.06,-1.28,38.55,361,34.35,0.83,-7.86,628.28,-204.69,0.00075,0.0005,38.24,-66.6
282,34,200,14,14,45,65,35,55,2.5,23,10000,7009.17,-2990.83,-29.91,-51.55,-0.13,-0.05,-1.26,40.87,321,34.89,0.83,-9.32,663.41,-257.74,0.00075,0.0005,38.24,-68.15
283,34,200,14,14,45,65,40,50,1.5,23,10000,7515.13,-2484.87,-24.85,-44.15,-0.13,-0.07,-1.36,32.4,371,33.42,0.83,-6.7,686.03,-171.64,0.00075,0.0005,38.24,-63.09
284,34,200,14,14,45,65,40,50,2.0,23,10000,8026.74,-1973.26,-19.73,-36.12,-0.09,-0.04,-1.27,28.42,313,34.82,0.87,-6.3,758.6,-196.13,0.00075,0.0005,38.24,-57.97
285,34,200,14,14,45,65,40,50,2.5,23,10000,7220.76,-2779.24,-27.79,-48.52,-0.13,-0.05,-1.35,36.07,284,34.86,0.82,-9.79,696.25,-225.41,0.00075,0.0005,38.24,-66.03
286,34,200,14,14,45,65,40,55,1.5,23,10000,7567.82,-2432.18,-24.32,-43.35,-0.12,-0.07,-1.28,33.91,408,34.07,0.84,-5.96,664.06,-174.52,0.00075,0.0005,38.24,-62.56
287,34,200,14,14,45,65,40,55,2.0,23,10000,7695.37,-2304.63,-23.05,-41.38,-0.1,-0.05,-1.24,33.25,346,34.68,0.86,-6.66,704.63,-203.73,0.00075,0.0005,38.24,-61.29
288,34,200,14,14,45,65,40,55,2.5,23,10000,7296.28,-2703.72,-27.04,-47.42,-0.12,-0.04,-1.25,37.92,308,34.74,0.84,-8.78,676.16,-257.74,0.00075,0.0005,38.24,-65.28
289,50,100,14,14,40,60,35,50,1.5,23,10000,9612.56,-387.44,-3.87,-7.74,-0.01,-0.0,-0.36,21.8,284,39.44,0.97,-1.36,784.67,-217.45,0.00075,0.0005,38.24,-42.11
290,50,100,14,14,40,60,35,50,2.0,23,10000,9021.74,-978.26,-9.78,-18.94,-0.04,-0.02,-0.7,27.24,245,38.78,0.92,-3.99,731.82,-227.9,0.00075,0.0005,38.24,-48.02
