id,regime_type,regime_period,regime_direction,adx_period,adx_threshold,use_volume_filter,volume_ma_period,use_atr_filter,atr_min_threshold,atr_period,ema_fast,ema_slow,entry_indicators,sl_atr_multiplier,tp_atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct,rsi_period,rsi_oversold,rsi_overbought,vwma_fast,vwma_slow,macd_fast,macd_slow,macd_signal,donchian_period,bb_length,bb_std,supertrend_length,supertrend_multiplier
91,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
92,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
93,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
94,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
95,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
96,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
145,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
146,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
147,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
148,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
149,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
150,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
151,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
152,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
153,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
154,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
155,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
156,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
157,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
158,sma_adx,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
159,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
160,sma_adx,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
209,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
210,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
211,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
212,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
213,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
214,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
215,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
216,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
217,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
218,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
219,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
220,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
221,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
222,sma_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
223,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
224,sma_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
273,none,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
274,none,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
275,none,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
276,none,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
277,none,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
278,none,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
279,none,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
280,none,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
281,none,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
282,none,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
283,none,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
284,none,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
285,none,100,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
286,none,100,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
287,none,100,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
288,none,100,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],3.0,6.0,10000,4820.14,-5179.86,-51.8,-51.9,-0.49,-0.07,-1.0,51.8,35,0.0,0.0,-148.0,-79.31,-283.64,0.00075,0.0005,24.27,-76.07,,,,,,,,,,,,,
337,none,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
338,none,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
339,none,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
340,none,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
