donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
20,100,3.0,5.0,10000,10066.32,66.32,0.66,0.67,0.01,0.0,0.13,4.93,23,43.48,1.04,2.88,366.34,-245.46,0.00075,0.0005,36.53,-35.87
20,100,3.0,6.0,10000,9647.86,-352.14,-3.52,-3.53,-0.03,-0.0,-0.62,5.67,23,34.78,0.83,-15.31,418.51,-234.04,0.00075,0.0005,36.53,-40.05
20,100,4.0,3.0,10000,10732.4,732.4,7.32,7.34,0.09,0.01,1.68,4.37,24,66.67,1.58,30.52,221.13,-251.8,0.00075,0.0005,36.53,-29.21
20,100,4.0,4.0,10000,10895.29,895.29,8.95,8.98,0.09,0.01,1.64,5.49,23,60.87,1.61,38.93,298.63,-243.84,0.00075,0.0005,36.53,-27.58
20,100,4.0,5.0,10000,11044.68,1044.68,10.45,10.48,0.09,0.01,2.06,5.08,23,56.52,1.61,45.42,375.33,-247.38,0.00075,0.0005,36.53,-26.08
20,100,4.0,6.0,10000,10696.94,696.94,6.97,6.99,0.06,0.01,0.88,7.96,23,47.83,1.35,30.3,431.44,-250.97,0.00075,0.0005,36.53,-29.56
20,150,2.0,3.0,10000,9884.42,-115.58,-1.16,-1.16,-0.02,-0.0,-0.29,3.96,22,45.45,0.9,-5.25,153.44,-164.81,0.00075,0.0005,36.53,-37.69
20,150,2.0,4.0,10000,9508.64,-491.36,-4.91,-4.93,-0.07,-0.01,-1.0,4.91,22,31.82,0.66,-22.33,194.13,-161.35,0.00075,0.0005,36.53,-41.44
20,150,2.0,5.0,10000,9162.42,-837.58,-8.38,-8.4,-0.12,-0.01,-0.98,8.53,22,22.73,0.48,-38.07,230.82,-154.67,0.00075,0.0005,36.53,-44.91
20,150,2.0,6.0,10000,9016.29,-983.71,-9.84,-9.86,-0.15,-0.01,-0.94,10.46,22,18.18,0.4,-44.71,273.4,-151.42,0.00075,0.0005,36.53,-46.37
20,150,3.0,3.0,10000,10045.03,45.03,0.45,0.45,0.01,0.0,0.13,3.49,22,54.55,1.03,2.05,213.85,-240.82,0.00075,0.0005,36.53,-36.08
20,150,3.0,4.0,10000,9642.44,-357.56,-3.58,-3.59,-0.04,-0.0,-0.54,6.7,22,40.91,0.79,-16.25,281.83,-236.34,0.00075,0.0005,36.53,-40.11
20,150,3.0,5.0,10000,9592.49,-407.51,-4.08,-4.09,-0.04,-0.0,-0.68,6.02,22,36.36,0.78,-18.52,349.1,-233.9,0.00075,0.0005,36.53,-40.61
20,150,3.0,6.0,10000,9578.51,-421.49,-4.21,-4.23,-0.04,-0.0,-0.67,6.35,22,31.82,0.78,-19.16,415.5,-232.36,0.00075,0.0005,36.53,-40.74
20,150,4.0,3.0,10000,10498.26,498.26,4.98,5.0,0.06,0.01,0.99,5.04,22,63.64,1.4,22.65,216.3,-250.06,0.00075,0.0005,36.53,-31.55
20,150,4.0,4.0,10000,10436.08,436.08,4.36,4.37,0.05,0.0,0.58,7.6,22,54.55,1.28,19.82,286.04,-239.91,0.00075,0.0005,36.53,-32.17
20,150,4.0,5.0,10000,10494.09,494.09,4.94,4.95,0.05,0.0,0.71,6.98,22,50.0,1.27,22.46,356.62,-241.2,0.00075,0.0005,36.53,-31.59
20,150,4.0,6.0,10000,10648.53,648.53,6.49,6.5,0.06,0.01,0.78,8.37,22,45.45,1.35,29.48,429.49,-244.04,0.00075,0.0005,36.53,-30.04
20,200,2.0,3.0,10000,9882.6,-117.4,-1.17,-1.18,-0.02,-0.0,-0.36,3.27,22,45.45,0.9,-5.34,153.44,-165.99,0.00075,0.0005,36.53,-37.7
20,200,2.0,4.0,10000,9506.88,-493.12,-4.93,-4.94,-0.07,-0.01,-1.0,4.93,22,31.82,0.66,-22.41,194.13,-162.5,0.00075,0.0005,36.53,-41.46
20,200,2.0,5.0,10000,9160.73,-839.27,-8.39,-8.41,-0.12,-0.01,-1.0,8.39,22,22.73,0.48,-38.15,232.47,-155.77,0.00075,0.0005,36.53,-44.92
20,200,2.0,6.0,10000,9014.63,-985.37,-9.85,-9.88,-0.15,-0.01,-1.0,9.85,22,18.18,0.4,-44.79,275.35,-152.5,0.00075,0.0005,36.53,-46.38
20,200,3.0,3.0,10000,10042.24,42.24,0.42,0.42,0.01,0.0,0.12,3.49,22,54.55,1.03,1.92,216.02,-243.26,0.00075,0.0005,36.53,-36.11
20,200,3.0,4.0,10000,9639.77,-360.23,-3.6,-3.61,-0.04,-0.0,-0.54,6.7,22,40.91,0.79,-16.37,284.68,-238.73,0.00075,0.0005,36.53,-40.13
20,200,3.0,5.0,10000,9589.83,-410.17,-4.1,-4.11,-0.04,-0.0,-0.68,6.02,22,36.36,0.78,-18.64,352.63,-236.27,0.00075,0.0005,36.53,-40.63
20,200,3.0,6.0,10000,9575.85,-424.15,-4.24,-4.25,-0.04,-0.0,-0.77,5.54,22,31.82,0.78,-19.28,419.7,-234.71,0.00075,0.0005,36.53,-40.77
20,200,4.0,3.0,10000,10494.36,494.36,4.94,4.96,0.06,0.01,0.98,5.04,22,63.64,1.39,22.47,219.14,-250.06,0.00075,0.0005,36.53,-31.59
20,200,4.0,4.0,10000,10432.21,432.21,4.32,4.33,0.05,0.0,0.57,7.6,22,54.55,1.27,19.65,289.79,-239.91,0.00075,0.0005,36.53,-32.21
20,200,4.0,5.0,10000,10490.19,490.19,4.9,4.92,0.05,0.0,0.71,6.93,22,50.0,1.27,22.28,361.29,-241.2,0.00075,0.0005,36.53,-31.63
20,200,4.0,6.0,10000,10644.57,644.57,6.45,6.46,0.06,0.01,0.9,7.17,22,45.45,1.34,29.3,435.12,-244.04,0.00075,0.0005,36.53,-30.08
