id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
44,9,21,200,14,7,2.5,10000,8153.51,-1846.49,-18.46,-34.05,-0.1,-0.03,-1.42,23.93,172,28.49,0.8,-10.74,998.16,-284.32,0.00075,0.0005,38.24,-56.7

45,9,21,200,14,7,3.0,10000,8070.56,-1929.44,-19.29,-35.41,-0.1,-0.03,-1.48,24.0,172,29.07,0.8,-11.22,983.98,-265.43,0.00075,0.0005,38.24,-57.53

46,9,21,200,20,3,2.0,10000,7389.53,-2610.47,-26.1,-46.04,-0.15,-0.07,-1.51,30.41,191,24.08,0.73,-13.67,995.43,-223.04,0.00075,0.0005,38.24,-64.34

47,9,21,200,20,3,2.5,10000,7041.47,-2958.53,-29.59,-51.09,-0.17,-0.06,-1.52,33.69,191,25.65,0.7,-15.49,954.17,-273.23,0.00075,0.0005,38.24,-67.83

48,9,21,200,20,3,3.0,10000,6891.87,-3108.13,-31.08,-53.19,-0.18,-0.06,-1.52,35.1,191,26.18,0.69,-16.27,927.4,-261.6,0.00075,0.0005,38.24,-69.32

49,9,21,200,20,5,2.0,10000,8940.05,-1059.95,-10.6,-20.42,-0.05,-0.02,-0.83,24.73,166,27.71,0.88,-6.39,1101.25,-177.49,0.00075,0.0005,38.24,-48.84

50,9,21,200,20,5,2.5,10000,8663.41,-1336.59,-13.37,-25.37,-0.07,-0.02,-0.98,25.86,166,29.52,0.86,-8.05,1062.96,-213.97,0.00075,0.0005,38.24,-51.61

51,9,21,200,20,5,3.0,10000,8552.95,-1447.05,-14.47,-27.29,-0.07,-0.02,-1.14,23.91,166,30.12,0.85,-8.72,1032.04,-225.14,0.00075,0.0005,38.24,-52.71

52,9,21,200,20,7,2.0,10000,7608.5,-2391.5,-23.92,-42.73,-0.18,-0.06,-1.48,28.8,159,26.42,0.69,-15.04,495.86,-226.2,0.00075,0.0005,38.24,-62.16

53,9,21,200,20,7,2.5,10000,7368.45,-2631.55,-26.32,-46.35,-0.19,-0.05,-1.49,31.05,159,28.3,0.68,-16.55,475.55,-277.77,0.00075,0.0005,38.24,-64.56

54,9,21,200,20,7,3.0,10000,7315.05,-2684.95,-26.85,-47.14,-0.19,-0.05,-1.49,31.55,159,28.93,0.67,-16.89,464.59,-265.97,0.00075,0.0005,38.24,-65.09

